,firstname,lastname,email,birthdate,city,address
0,Jules,Kabas,jules.kabas@gmail.com,12-12-1946,Deinze,Karrewegstraat 22
0,Fons,Bellens,Fons.Bellens@hetcvo.be,27-5-1951,Tiegem,Neerkouter 72
0,Maartje,Evens,Maartje.Evens@oudenaarde.be,22-11-1995,Anzegem,Oudstrijdersstraat 24
0,Renaud,Decock,Renaud.Decock@hotmail.com,13-2-1983,Waregem,Zagerijstraat 6
0,Fee,Vangeel,Fee.Vangeel@hetcvo.be,19-7-1987,Oudenaarde,Baarzak 117
0,Mounir,D'Haese,Mounir.D'Haese@hotmail.com,27-9-2001,Waregem,Sint-Arnoldusstraat 3
0,Rita,Delfosse,Rita.Delfosse@telenet.be,20-7-2007,Wortegem,Kleistraat 66
0,Jochen,Vandevelde,Jochen.Vandevelde@hetcvo.be,1-3-1982,Oudenaarde,Gelukstede 130
0,Marielle,Roelants,Marielle.Roelants@oudenaarde.be,2-1-1993,Huise,Kolpaart 40
0,Vince,Poncelet,Vince.Poncelet@google.com,3-7-1967,Anzegem,Henri 90
0,Cécilia,Lefebvre,Cécilia.Lefebvre@vrt.be,13-11-1948,Anzegem,Rosstraat 68
0,Benno,Smet,Benno.Smet@telenet.be,13-4-1996,Elsegem,Kouter 82
0,Valentine,Menten,Valentine.Menten@google.com,14-1-2007,Anzegem,Groenstraat 74
0,Rowan,Tytgat,Rowan.Tytgat@proximus.be,4-5-1986,Deinze,Liefkemeirestraat 23
0,Nathalie,Carton,Nathalie.Carton@google.com,8-10-1991,Huise,Bekestraat 113
0,Corentin,Klein,Corentin.Klein@telenet.be,20-4-2000,Elsegem,Kloosterhoek 65
0,Diane,Van Vaerenbergh,Diane.Van_Vaerenbergh@hetcvo.be,17-2-1992,Huise,Hofakkerstraat 69
0,Mustapha,Berisha,Mustapha.Berisha@google.com,9-1-2004,Huise,Molenstraat 63
0,Meriem,Clément,Meriem.Clément@hotmail.com,8-9-1952,Huise,Hofakkerstraat 64
0,Quincy,Clément,Quincy.Clément@vrt.be,24-9-1963,Anzegem,Tempeliersstraat 81
0,Klara,Frederickx,Klara.Frederickx@orange.be,21-7-1949,Waregem,Meersstraat 11
0,Jerome,Hanssens,Jerome.Hanssens@vrt.be,10-4-2007,Kruisem,Nazarethsedorpweg 67
0,Johanna,Depoortere,Johanna.Depoortere@telenet.be,7-12-2000,Huise,Groeneweg 127
0,Paolo,Lens,Paolo.Lens@telenet.be,2-2-1982,Huise,Hoogboeregemstraat 65
0,Tiana,De Vuyst,Tiana.De_Vuyst@vrt.be,19-1-1965,Nazareth,Albert 24
0,Rick,Vantomme,Rick.Vantomme@proximus.be,21-4-1964,Oudenaarde,Fortstraat 123
0,Laureen,Verstraete,Laureen.Verstraete@vrt.be,20-12-1986,Kruisem,Ijzerbergweg 59
0,Mayron,Lefèbvre,Mayron.Lefèbvre@vrt.be,7-4-1950,Waregem,Kievitstraat 109
0,Tina,Marlier,Tina.Marlier@google.com,25-4-1957,Wortegem,Stuivenbergstraat 140
0,Kamiel,De Laet,Kamiel.De_Laet@telenet.be,8-4-1985,Kruisem,Platanendreef 139
0,Victoire,Vandenbossche,Victoire.Vandenbossche@google.com,12-9-1961,Elsegem,Kouter 31
0,Jim,Van Campenhout,Jim.Van_Campenhout@google.com,5-9-1968,Zulte,Tarwestraat 25
0,Felien,Meeus,Felien.Meeus@proximus.be,9-5-1973,Anzegem,Rosstraat 16
0,Oscar,Van Vaerenbergh,Oscar.Van_Vaerenbergh@hotmail.com,28-12-2006,Oudenaarde,Prins 58
0,Gladys,Remy,Gladys.Remy@proximus.be,21-7-1949,Anzegem,Lindeplein 66
0,Harley,Cordier,Harley.Cordier@vrt.be,18-9-1977,Anzegem,Oudstrijdersstraat 39
0,Lindsay,Wellens,Lindsay.Wellens@google.com,9-6-1973,Nazareth,NoÃ«l 129
0,Hadrien,Adriaenssens,Hadrien.Adriaenssens@hetcvo.be,23-2-2000,Nazareth,Kortebosstraat 40
0,Elif,Bouillon,Elif.Bouillon@proximus.be,1-1-1950,Huise,Korte 81
0,Dempsey,Jacquet,Dempsey.Jacquet@hotmail.com,18-10-1956,Wortegem,Vrankaartstraat 137
0,Elisabeth,Seys,Elisabeth.Seys@hetcvo.be,1-8-1988,Zulte,Waalbeekpark 132
0,Karsten,Anciaux,Karsten.Anciaux@proximus.be,12-8-1945,Anzegem,Zijptestraat 130
0,Melis,De Clercq,Melis.De_Clercq@hotmail.com,14-11-1991,Huise,Prinsenhof 49
0,Tycho,Bouckaert,Tycho.Bouckaert@hotmail.com,2-3-1943,Wortegem,Vijverhoek 72
0,Wassima,Verbraeken,Wassima.Verbraeken@telenet.be,17-10-2007,Kruisem,Akkerstraat 57
0,Batuhan,Verbeeck,Batuhan.Verbeeck@google.com,13-4-2002,Deinze,Kaaistraat 90
0,An-Katrien,Gielis,An-Katrien.Gielis@hotmail.com,4-6-1954,Nazareth,Raoul 22
0,Robbie,Deleu,Robbie.Deleu@yahoo.fr,14-9-1969,Elsegem,Kouterlos 42
0,Lou,Van Loo,Lou.Van_Loo@vrt.be,18-6-1984,Deinze,Bullenstraat 43
0,Brent,Mees,Brent.Mees@yahoo.fr,24-3-2002,Kruisem,Brakkerij 120
0,Francesca,Verbeeck,Francesca.Verbeeck@oudenaarde.be,26-10-1949,Nazareth,Korte 62
0,Bjorn,Dubuisson,Bjorn.Dubuisson@yahoo.fr,10-6-1954,Tiegem,Sint-Arnolduslaan 62
0,Alyson,Caers,Alyson.Caers@proximus.be,5-8-2003,Nazareth,Guillaume 59
0,Zeger,Windels,Zeger.Windels@vrt.be,22-9-1946,Huise,Della 34
0,Jane,Dams,Jane.Dams@hotmail.com,25-1-1964,Nazareth,Sint-Pieterslaan 135
0,Ignace,De Graeve,Ignace.De_Graeve@orange.be,21-8-1946,Deinze,Korenstraat 34
0,Nell,Delporte,Nell.Delporte@orange.be,5-5-1950,Kruisem,Karreweg 60
0,Achraf,Provoost,Achraf.Provoost@google.com,16-6-1966,Nazareth,Plaanstraat 56
0,Coralie,Glorieux,Coralie.Glorieux@hotmail.com,18-9-1998,Zulte,Staatsbaan 7
0,Steve,Hajji,Steve.Hajji@orange.be,11-10-2001,Waregem,Engelenstraat 61
0,Angela,Chevalier,Angela.Chevalier@google.com,1-11-2002,Wortegem,Kruishoutemseweg 92
0,Fabian,Russo,Fabian.Russo@hetcvo.be,3-1-1994,Kruisem,Appelhoekstraat 59
0,Lisa,Joos,Lisa.Joos@telenet.be,24-3-1950,Anzegem,Weedries 86
0,Mounir,Smekens,Mounir.Smekens@telenet.be,18-1-1963,Kruisem,Deinsesteenweg 82
0,Heidi,De Jonghe,Heidi.De_Jonghe@proximus.be,5-3-1973,Tiegem,Tieboutslaan 86
0,Corneel,Camps,Corneel.Camps@yahoo.fr,24-1-2005,Wortegem,Pontstraat 89
0,Nell,Deschamps,Nell.Deschamps@proximus.be,22-1-1970,Deinze,Gebroeders 31
0,Amir,Vandormael,Amir.Vandormael@telenet.be,28-10-1994,Oudenaarde,Pauwel 13
0,Evi,Vereecke,Evi.Vereecke@oudenaarde.be,20-8-1995,Deinze,Krommebrug 66
0,Mickael,Proost,Mickael.Proost@orange.be,1-10-1966,Kruisem,Passionistenstraat 125
0,Katinka,Van Dam,Katinka.Van_Dam@proximus.be,4-5-1965,Waregem,Marcel 138
0,Allan,Baeyens,Allan.Baeyens@proximus.be,4-8-1997,Deinze,Wakkense 23
0,Kyara,Provoost,Kyara.Provoost@vrt.be,22-1-1987,Anzegem,Koekuitweg 58
0,Justin,Charlier,Justin.Charlier@proximus.be,26-3-1988,Deinze,Grimbaartstraat 117
0,Paola,Piron,Paola.Piron@yahoo.fr,25-9-1982,Kruisem,Nachtegaalstraat 1
0,Amory,Vercauteren,Amory.Vercauteren@oudenaarde.be,10-12-1969,Elsegem,Blaarhoek 13
0,Maaike,Pierard,Maaike.Pierard@vrt.be,2-9-1975,Huise,Lindestraat 25
0,Damien,Volders,Damien.Volders@hetcvo.be,5-12-1986,Elsegem,Blaarhoek 49
0,Charline,Boonen,Charline.Boonen@telenet.be,28-9-1943,Nazareth,Zuiderbiesten 101
0,Neil,Sow,Neil.Sow@proximus.be,5-6-1983,Tiegem,Vital 69
0,Perrine,Nollet,Perrine.Nollet@yahoo.fr,6-7-2004,Oudenaarde,Baarstraat 53
0,Wiebe,De Meester,Wiebe.De_Meester@orange.be,28-12-1952,Oudenaarde,Pamelekerkplein 40
0,Aïcha,Kaur,Aïcha.Kaur@google.com,3-6-2005,Oudenaarde,Smallendam 18
0,Nabil,Vincke,Nabil.Vincke@oudenaarde.be,1-8-1981,Nazareth,Koedreef 118
0,Maïthé,De Groof,Maïthé.De_Groof@yahoo.fr,25-7-2003,Anzegem,Steenbrugmolenstraat 83
0,Frédéric,Liu,Frédéric.Liu@hotmail.com,28-12-1991,Nazareth,Zuiderbiesten 23
0,Katoo,Adriaens,Katoo.Adriaens@vrt.be,12-1-1954,Zulte,Ellegemstraat 93
0,James,Coomans,James.Coomans@proximus.be,19-4-1965,Elsegem,Elsegemplein 127
0,Ellen,Bolle,Ellen.Bolle@google.com,3-1-1953,Waregem,Nieuwe 119
0,Thibaut,Roland,Thibaut.Roland@vrt.be,10-5-1952,Kruisem,Langehaagstraat 135
0,Anke,Polfliet,Anke.Polfliet@vrt.be,4-7-1976,Nazareth,Gaston 53
0,Hakim,Reynaert,Hakim.Reynaert@hetcvo.be,24-11-1983,Tiegem,Leemstraat 87
0,Gabriela,Ledoux,Gabriela.Ledoux@proximus.be,3-8-1978,Tiegem,Hellestraat 79
